,new_true_diseases,new_true_pattern,new_true_treat,new_true_symptom
0,产后少乳,胃虚寒,进饮食,胸胀
1,痨证,肾气不和,,乍寒乍乱
2,胃气不调,寒湿下注,,膨胀满闷
3,脾疸,肝胃少弱,,脉无常候
4,产后恶物不止,气血怯弱,,嗜睡
5,产后恶露闷绝,下焦虚冷,,四肢懈倦
6,产后疸症,气血已虚,,腰膝生痠
7,发眉,肝虚火炎,,胁肋痛
8,妊娠恶呕,冲任两虚,,汗多不止
9,中毒,肝气郁滞,,气上烦满
10,火证,脉虚,,口舌烦渴
11,经水愆期,冲任虚寒,,性情急躁
12,胎疟,肝气虚弱,,肌体怯弱
13,阴缩,脾郁,,手脚浮肿
14,血虚,荣卫凝涩,,血海干枯
15,经水过期不行,气寒,,少腹冷
16,乳吹,肝经郁火,,脉浮紧涩
17,内虚,肝经不足,,饱闷
18,经水适断,脾气虚馁,,筋骨软弱
19,疳疾,心脾郁结,,两目发黄
20,紫癜风,血凝寒滞,,脉弦紧数
21,胎癞,中满,,发肿
22,痨症,冲任脉虚,,尿有余沥
23,子痢,阴虚夹热,,瘾疹
24,产后恶血上行,肝阴不足,,小便膏淋
25,经脉不匀,气阳两亏,,浑身瘙痒
26,产后乳蒸,痰滞,,不得眠睡
27,痰热,肝气不调,,腹脏撮痛
28,头疳,肝脾不足,,面色淡
29,月水不准,肝肾久虚,,湿疮
30,胎黄,气血盛实,,目弦
31,痫疾,脾胃失调,,苔黄
32,经水先来,气血双亏,,心腹饱胀
33,经水过期,气血虚少,,形寒肢冷
34,心悸,经络凝滞,,细疮
35,经月不通,肾水下虚,,肋胁痛满
36,盘疝,气血衰弱,,胸背疼闷
37,中恶,肝胃热邪壅滞,,手足挛曲
38,经行先后无定期,脾胃有热,,暴下不止
39,孕痈,脾气不和,,疮肿
40,经行出痘,痰湿,,脉大滑疾
41,痨疾,阴虚血燥,,肢体瘦瘁
42,月经过期不通,气血虚羸,,头目昏疼
43,月经错后,,,脉洪滑疾
44,产后痢症,,,脉数涩大
45,经水沸溢,,,指节疼痛
46,妊娠子肿,,,脉沉数有力
47,过多,,,脉紧数大
48,瘰疬,,,上视
49,女痨疸,,,面目青黄
50,产后乳汁不出,,,鼻中出血
51,产后恶血上冲,,,心肺俱损
52,经病不通,,,举动艰辛
53,产后狂病,,,遍身黑
54,月经紊乱,,,腿足疼痛
55,血膈,,,卒倒昏闷
56,月水过期,,,子宫冷痛
57,逆经,,,小便利多
58,血疾,,,形容枯瘦
59,子晕,,,下利纯白
60,风证,,,声如蝉噪
61,产后恶露冲脾,,,体肥
62,子疟,,,小便浊败
63,经行无定期,,,身体倦疼
64,妊身阻病,,,慢惊风
65,内钓,,,红晕
66,汗病,,,腹胁（？？）痛
67,产后经病,,,昼夜不安
68,产瘫,,,鼻流黄涕
69,热病,,,遍身发斑
70,阴疝,,,脉浮涩
71,产后乳汁不足,,,面色时红时青
72,乳积,,,腰胯痹痛
73,内吹,,,惊烦
74,经少,,,身体重著
75,血闭,,,虚气胀满
76,产后瘛疭,,,忧愁思虑
77,月水时下,,,小便清白
78,,,,大便虚急
79,,,,腹有痛感
80,,,,小便淡黄
81,,,,苔厚黄而燥
82,,,,脉沉细涩
83,,,,血昏
84,,,,清腥如水
85,,,,唇紧
86,,,,遍身黄色
87,,,,恍惚忧惧
88,,,,胸腹作痛
89,,,,胸中胀满
90,,,,小便少
91,,,,小便黄涩
92,,,,坚硬疼痛
93,,,,肢体沉困
94,,,,腹无痛苦
95,,,,脓水淋漓
96,,,,含糊謇涩
97,,,,四肢沉困
98,,,,大热壅极
99,,,,色淡红
100,,,,皮肤生疮
101,,,,大便时溏
102,,,,骨间冷疼
103,,,,羸乏
104,,,,喜暖恶寒
105,,,,精神怯弱
106,,,,面黄发脱
107,,,,嗽喘急
108,,,,膝胫酸痛
109,,,,精神冒闷
110,,,,便泻
111,,,,经血凝涩
112,,,,脉浮细涩
113,,,,大肠滞涩
114,,,,肢体痛倦
115,,,,脉浮细数
116,,,,头面生疮
117,,,,腰腹坠痛
118,,,,四肢困烦
119,,,,阴中生虫
120,,,,肚腹肿痛
121,,,,小便不调
122,,,,血溢
123,,,,胸膈疼痛
124,,,,营卫虚弱
125,,,,肢体常痛
126,,,,脐腹胀满
127,,,,筋骨羸瘦
128,,,,久喘
129,,,,腰脚急痛
130,,,,身上微热
131,,,,受胎不牢
132,,,,闷心欲绝
133,,,,发痛
134,,,,腹痛不可忍
135,,,,骨节皮肤疼痛
136,,,,皮肤燥涩
137,,,,喜按
138,,,,苔黄腻
139,,,,心腹积滞
140,,,,面色苍黯
141,,,,肌肤不遂
142,,,,下利清谷
143,,,,筋脉骨节痛
144,,,,带脉失司
145,,,,脘腹冷痛
146,,,,面色姜黄
147,,,,脚胫细瘦
148,,,,苔白润
149,,,,精神疲惫
150,,,,脚手浮肿
151,,,,腹中常有块痛
152,,,,红痢
153,,,,脉濡或缓
154,,,,面色苍黄
155,,,,脚痛
156,,,,大便闭涩不通
157,,,,足膝肿痛
158,,,,脉滞沉数
159,,,,热呕
160,,,,腰腹胀痛
161,,,,子脏久寒
162,,,,小腹无胀痛
163,,,,汗泄
164,,,,面如火爁
165,,,,脉沉缓
166,,,,小便短黄
167,,,,腰腿酸痛
168,,,,脉浮濡涩
169,,,,大便稀薄
170,,,,经色紫
171,,,,腰腿疼重
172,,,,口冷
173,,,,脚膝冷痛
174,,,,脉浮滞涩
175,,,,冒闷不醒
176,,,,心膈热痛
177,,,,腹微痛
178,,,,胸胁闷痛
179,,,,形气日瘦
180,,,,呼吸不足
181,,,,齿牙浮动
182,,,,腰胁痛
183,,,,两眼微红
184,,,,肌肉疼痛
185,,,,面青赤
186,,,,出痘
187,,,,小便频涩作痛
188,,,,下部秽恶
189,,,,气乏
190,,,,忧虑不乐
191,,,,肢沉
192,,,,乳食不进
193,,,,心脾疼痛
194,,,,久泻不止
195,,,,骨节烦疼冷
196,,,,苔垢腻
197,,,,昏倦力乏
198,,,,脉紧涩结滞
199,,,,头昏眼花
200,,,,头晕胀痛
201,,,,脐腹作胀
202,,,,中脘痞闷
203,,,,心胸注闷
204,,,,痰涎上涌
205,,,,肠胃不快
206,,,,苔白而润
207,,,,身渐羸瘦
208,,,,唇口指甲青黑
209,,,,肌肉渐瘦
210,,,,心烦不安
211,,,,耳肿
212,,,,手足酸软
213,,,,小便急数
214,,,,脐下胀痛
215,,,,关节痠痛
216,,,,脉数浮短
217,,,,身体肥胖
218,,,,头项痛
219,,,,遍身肢节疼痛
220,,,,手心发烧
221,,,,带下黑色
222,,,,腹胁多胀
223,,,,手足寒
224,,,,绕顶生疮
225,,,,骨肉疼痛
226,,,,肿满不消
227,,,,身如角弓
228,,,,恶心呕吐
229,,,,脉缓涩
230,,,,疲倦
231,,,,经来紫黑
232,,,,脉沉微数
233,,,,心惊胆怯
234,,,,齿龈腐烂疼痛
235,,,,脉浮弱
236,,,,痰迷
237,,,,两胁痛胀
238,,,,腹中胀痛
239,,,,血不出
240,,,,面色黄青
241,,,,虚汗
242,,,,左右强弱不调
243,,,,食减少
244,,,,舌本不通
245,,,,小腹有块
246,,,,筋脉引急
247,,,,脐下生疮
248,,,,呕恶咽酸
249,,,,肋胁胀痛
250,,,,肛中气坠
251,,,,腰脚痠重
252,,,,虚中有滞
253,,,,鬼疟
254,,,,皮肤紫纹
255,,,,精神不爽
256,,,,先天不足
257,,,,肌肉瞤动
258,,,,四肢百节疼痠
259,,,,大喘
260,,,,肝血气块作痛
261,,,,脉软缓涩
262,,,,语言不利
263,,,,溺短赤涩
264,,,,精神抑郁
265,,,,身体枯悴
266,,,,上壅
267,,,,肢体消瘦
268,,,,肌肉枯悴
269,,,,钉翳
270,,,,舌苔花白
271,,,,大便闭涩
272,,,,牙齿肿痛
273,,,,心多怔忪
274,,,,肠寒便白
275,,,,小便短缩
276,,,,肢体烦疼
277,,,,肌肉陷下
278,,,,小便黄少
279,,,,腹热如焚
280,,,,喉间痰鸣
281,,,,腰腹冷痛
282,,,,眼目赤障
283,,,,腹部偶而作胀
284,,,,视物昏蒙
285,,,,腹肚结痛
286,,,,痛如锥刺
287,,,,血崩形脱
288,,,,牙龈出血
289,,,,胞络枯涩
290,,,,脉沉实大
291,,,,瘙痒
292,,,,泄利虚滑
293,,,,躁烦
294,,,,胸胁痞满
295,,,,腰脊痠痛
296,,,,抑郁
297,,,,四肢麻木
298,,,,腰胯重疼
299,,,,冻疮痒痛
300,,,,食臭
301,,,,神思沉困
302,,,,皮肤粗涩
303,,,,偏身发热
304,,,,面色黄肿
305,,,,言语失度
306,,,,脉滞
307,,,,心烦悸
308,,,,尺脉细弱
309,,,,眼晕生花
310,,,,虚烦冒闷
311,,,,积秽稠粘
312,,,,两目昏暗
313,,,,脉软紧细
314,,,,善怒
315,,,,脚膝酸软
316,,,,血疼
317,,,,脉浮软涩
318,,,,湿痹不仁
319,,,,阴户生疮
320,,,,苔白底淡
321,,,,小便淋浊
322,,,,唇白
323,,,,脉沉滑
324,,,,肚腹时痛
325,,,,肚腹作疼
326,,,,舌质微红
327,,,,脐下硬痛
328,,,,冲心欲死
329,,,,步履不安
330,,,,面色微红
331,,,,大小便俱不通
332,,,,腰腹急痛
333,,,,经水淋漓
334,,,,腹膨胀而痛
335,,,,大便燥
336,,,,四肢痹僵
337,,,,臂疼
338,,,,胸痞虚浮
339,,,,体无光泽
340,,,,口燥咽干
341,,,,大便日久不通
342,,,,精气滑脱
343,,,,形色俱脱
344,,,,六脉数实
345,,,,面色寒滞
346,,,,面色无光
347,,,,腹肚坚硬
348,,,,尿黄
349,,,,脉濡涩滞
350,,,,髓海空虚
351,,,,怠堕嗜卧
352,,,,断绝不产
353,,,,脉浮虚软
354,,,,脉弦紧
355,,,,满闷益增
356,,,,久鲜子息
357,,,,饮食全减
358,,,,泻利青黑
359,,,,头发干落
360,,,,腹中停瘀作痛
361,,,,脏腑衰败
362,,,,多吐清水
363,,,,少腹急痛
364,,,,脚冷麻痹
365,,,,形体肥胖
366,,,,小便赤如血状
367,,,,不可下食
368,,,,痞胀
369,,,,苔黄燥
370,,,,胸闷泛噁
371,,,,满肚疼痛
372,,,,筋骨损败
373,,,,脚上生疮
374,,,,狂妄
375,,,,小便浑浊
376,,,,肢体微肿
377,,,,腹中卒痛
378,,,,脉细数
379,,,,恶血积结
380,,,,单腹胀满
381,,,,痰呕
382,,,,阳气欲脱
383,,,,脐腹妨闷
384,,,,脐风
385,,,,胎中有热
386,,,,足肿
387,,,,性躁
388,,,,漏肩疼痛
389,,,,败血如肝
390,,,,四肢作痛
391,,,,舌苔薄白
392,,,,发搐
393,,,,口舌无皮
394,,,,大便下利
395,,,,惊悸不宁
396,,,,怠惰蜷卧
397,,,,肚肿
398,,,,劳疾
399,,,,目血衰虚
400,,,,带下不止
401,,,,言语无伦
402,,,,血色淡红
403,,,,带下冷痛
404,,,,右关弦数
405,,,,心下结满
406,,,,麻木不仁
407,,,,牙肿
408,,,,子宫冷闭
409,,,,脉数弱弦
410,,,,腹内生疮
411,,,,痞闷结胸
412,,,,寐少
413,,,,腹胁痞痛
414,,,,项腮肿满
415,,,,耳哨蝉鸣
416,,,,脉数急
417,,,,下肢肿胀
418,,,,心上急满
419,,,,腰膝麻痹
420,,,,小水不利
421,,,,苔白而腻
422,,,,手足瘦弱
423,,,,饮食忘思
424,,,,腮项硬肿
425,,,,带下淋漓
426,,,,神魂无所依
427,,,,手足倦卧
428,,,,横生倒养
429,,,,膏淋
430,,,,发鬓俱白
431,,,,左关弦洪
432,,,,倒经吐衄
433,,,,脐疼痛
434,,,,心膈迷闷
435,,,,胸胁痛
436,,,,脉浮紧
437,,,,夜多虚汗
438,,,,脉软数
439,,,,遍身痒闷
440,,,,烦躁不安
441,,,,手心灼热
442,,,,胞络伤损
443,,,,脉沉而迟
444,,,,腰胀
445,,,,阴挺脱出
446,,,,滑血
447,,,,痰涎神昏
448,,,,行步力弱
449,,,,眼黑旋运
450,,,,肌肤减削
451,,,,唇齿作痛
452,,,,腹胁块硬
453,,,,面色微黄
454,,,,脉数沉实
455,,,,心胸愦闷
456,,,,咳痰带血
457,,,,小便短涩
458,,,,脉浮而热
459,,,,阴阳反错
460,,,,面目痿黄
461,,,,夜啼发热
462,,,,肌肤日瘦
463,,,,脉弦浮数
464,,,,胁气
465,,,,血枯燥
466,,,,惊魇
467,,,,两足浮肿
468,,,,舌略带青
469,,,,面上雀斑
470,,,,瘙痒瘾疹
471,,,,恶血攻心
472,,,,白带较重
473,,,,闷喘
474,,,,梦与鬼交
475,,,,关节不利
476,,,,下利稀水
477,,,,脚手牵掣
478,,,,齿龈溃烂
479,,,,垂死
480,,,,脉弦缓
481,,,,少腹急
482,,,,发鬓
483,,,,左瘫右缓
484,,,,肌肉瘦悴
485,,,,舌强
486,,,,四肢委热
487,,,,大便溏薄
488,,,,四肢抽动
489,,,,心胃胀满
490,,,,唇赤
491,,,,痰碍经隧
492,,,,呕恶
493,,,,肢体烦热
494,,,,头身俱痛
495,,,,阴囊肿痛
496,,,,带下白淫
497,,,,心中忪悸
498,,,,小腹雷鸣
499,,,,口目蠕动
500,,,,眼流冷泪
501,,,,腰脚肿
502,,,,筋无血养
503,,,,脉缓滑
504,,,,少腹硬痛
505,,,,面色黄
506,,,,四肢发凉
507,,,,筋骨缩疼
508,,,,脉数弦大
509,,,,便浊不利
510,,,,苔薄色白
511,,,,皮肤皴揭
512,,,,心烦满
513,,,,骨节痠倦
514,,,,四肢肿痛
515,,,,怠堕倦乏
516,,,,肌体羸弱
517,,,,目中黄色
518,,,,久下不止
519,,,,手脚麻痹
520,,,,宿夹积冷
521,,,,心间恍惚
522,,,,咽间作痛
523,,,,肢体憔悴
524,,,,心胸腹腰急痛
525,,,,心中跳动
526,,,,脉濡而虚
527,,,,涎盛
528,,,,唯思眠睡
529,,,,脉迟涩
530,,,,苔厚腻
531,,,,子宫恶疾
532,,,,脉右濡滞
533,,,,腰腹大痛
534,,,,痞满
535,,,,脐肚痛
536,,,,肚胀
537,,,,肝胃气痛
538,,,,目运
539,,,,精神憔悴
540,,,,苔白滑
541,,,,胸腹满闷
542,,,,旋运欲倒
543,,,,筋骨痿弱
544,,,,脉濡涩
545,,,,脉细滑
546,,,,血海冷败
547,,,,面色浮黄
548,,,,脉象滑数
549,,,,量较多
550,,,,面色黄白
551,,,,脉软弱
552,,,,脉数涩
553,,,,梦寐惊惶
554,,,,带下经久不止
555,,,,久利肌瘦
556,,,,腹疼牵钓腿足
557,,,,瘀斑
558,,,,气喘不息
559,,,,忧悒
560,,,,泻血不止
561,,,,久不坐胎
562,,,,肢体倦瘦
563,,,,伤食生冷
564,,,,肚腹饱胀
565,,,,腿脚痠痛
566,,,,舌胖质淡
567,,,,脉弦浮涩
568,,,,小便淋数不止
569,,,,乳汁短少
570,,,,热多寒少
571,,,,白淫赤带
572,,,,手足挛搐
573,,,,大便结滞
574,,,,目疼
575,,,,梦寐不清
576,,,,疖肿
577,,,,饮食不喜
578,,,,肝筋缓弛
579,,,,咳带红
580,,,,头晕眩
581,,,,身麻
582,,,,颈项强直
583,,,,髭鬓早白
584,,,,腰腹痛急
585,,,,肢节疼重
586,,,,四肢倦乏
587,,,,咽喉燥痛
588,,,,产户不闭
589,,,,奶汁绝少
590,,,,心膈胀满
591,,,,色肉衰朽
592,,,,精神疲乏
593,,,,脐下撮痛
594,,,,眼疾
595,,,,脚膝细弱
596,,,,肢体焦萎
597,,,,子宫久虚
598,,,,脉浮数
599,,,,久积忧郁
600,,,,心忡颊赤
601,,,,肌肉麻痹
602,,,,子宫极冷
603,,,,脐腹胀闷
604,,,,颜面不润
605,,,,筋骨不舒
606,,,,脉紧细
607,,,,腹急
608,,,,眼目上视
609,,,,肩臂疼痛
610,,,,烦躁悸惚
611,,,,心神怯弱
612,,,,饮食不减
613,,,,赤日带下
614,,,,胎胀
615,,,,小便流利
616,,,,胸肋背痛
617,,,,身体不宁
618,,,,跌打动胎
619,,,,肢节酸痛
620,,,,身体疼倦
621,,,,肢体痛
622,,,,身中急痛
623,,,,汗黄
624,,,,柔风
625,,,,全不纳谷
626,,,,恶心吐逆
627,,,,脉细弦浮涩滞
628,,,,秘利不常
629,,,,睡卧不醒
630,,,,头面风肿
631,,,,两脚麻木
632,,,,痰逆恶心
633,,,,乳房发胀
634,,,,四肢酷冷
635,,,,两胁作胀
636,,,,手足躁扰
637,,,,妄言妄见
638,,,,头面微浮
639,,,,项背反张
640,,,,不嗜饮食
641,,,,小便时少
642,,,,脐腰痛
643,,,,小肠作气
644,,,,咳唾脓血
645,,,,痰鸣
646,,,,眠睡不安
647,,,,子宫下脱
648,,,,发疟
649,,,,脉乱
650,,,,胃纳减少
651,,,,心忡
652,,,,血色暗淡
653,,,,腹中膨胀
654,,,,胎溻皮疮
655,,,,身体痿瘁
656,,,,闭目不省
657,,,,小便频涩痛
658,,,,蛊胀
659,,,,神思恍惚
660,,,,心神倦怠
661,,,,足膝痠弱
662,,,,两目天吊
663,,,,腰膝重痛
664,,,,月事失常
665,,,,大便干燥
666,,,,舌质正常或淡
667,,,,腹中有块疼痛
668,,,,肿硬
669,,,,形瘦
670,,,,腹肠疼痛
671,,,,恶心呕泻
672,,,,头目昏运
673,,,,脉数弦滞
674,,,,卵痛
675,,,,不多下食
676,,,,脉微滑
677,,,,脉浮数大
678,,,,脉大而虚
679,,,,视物濛濛
680,,,,心中嘈杂
681,,,,大便疼
682,,,,不能语言
683,,,,发脑
684,,,,夜多啼哭
685,,,,不用饮食
686,,,,肌肉蠕动
687,,,,便闭
688,,,,眼黄
689,,,,乳少
690,,,,脉来滑数
691,,,,便血妄行
692,,,,面色淡黄
693,,,,喉咽不利
694,,,,皮肤光莹
695,,,,多妬
696,,,,面带红色
697,,,,胸膈不快
698,,,,视力稍减
699,,,,喜热熨
700,,,,背寒
701,,,,筋骨痠痛
702,,,,语言不清
703,,,,二便秘涩
704,,,,肤无血色
705,,,,肌肉顽痹
706,,,,唇红
707,,,,下元不固
708,,,,面目虚肿
709,,,,腰腹无胀痛
710,,,,心膈痛
711,,,,苔薄白而润
712,,,,四肢虚浮
713,,,,咽喉干痛
714,,,,便溺不利
715,,,,狂癫
716,,,,夜不成寐
717,,,,尿闭
718,,,,心烦不寐
719,,,,月候不行
720,,,,言语颠狂
721,,,,腿漆浮肿
722,,,,著脊不下
723,,,,胸胁胀痛
724,,,,神识昏闷
725,,,,心腹冷疼
726,,,,脉弦缓涩
727,,,,津液凝涩
728,,,,脉弦虚数
729,,,,胁背臌胀
730,,,,脉沉滞
731,,,,心腹腰痛
732,,,,鹤膝软弱
733,,,,小水涩滞
734,,,,冷带
735,,,,目睛眩疼
736,,,,谷米不化
737,,,,鹤膝风
738,,,,饮食衰少
739,,,,心胃虫痛
740,,,,腹痛如欲产
741,,,,质粘稠
742,,,,绕脐绞痛
743,,,,腿脚酸软
744,,,,遍身麻木
745,,,,瘴气
746,,,,遍身瘾疹
747,,,,怠情倦乏
748,,,,神识昏冒
749,,,,眉棱骨疼
750,,,,经水来少
751,,,,耳干焦黑
752,,,,手握不开
753,,,,脉软弦涩
754,,,,脉濡而弦
755,,,,腰胯痠痛
756,,,,咳嗽带血
757,,,,脉迟而虚
758,,,,阴内冰冷
759,,,,脉洪涩
760,,,,手心发热
761,,,,头面两眼并肿
762,,,,本虚经弱
763,,,,好吃酸咸果实
764,,,,萎燥
765,,,,夜时谵语
766,,,,腰痠作胀
767,,,,口淡
768,,,,腰脊疼痛
769,,,,潮热有汗
770,,,,呕逆不定
771,,,,败血上攻
772,,,,脉沉涩滞
773,,,,咳逆不定
774,,,,手臂麻疼
775,,,,脉象细弱
776,,,,唇口焦干
777,,,,饮食不纳
778,,,,心腹大痛
779,,,,头额作痛
780,,,,去血如片
781,,,,四肢萎弱
782,,,,脐腹块硬疼痛
783,,,,大汗
784,,,,两足肿大
785,,,,少腹刺痛
786,,,,疖毒
787,,,,筋骨挛急
788,,,,胸胁串痰
789,,,,脉弦滑
790,,,,肌肤黄瘦
791,,,,血弱
792,,,,声音嘶哑
793,,,,视物昏花
794,,,,肚痒
795,,,,微恶寒
796,,,,绕项生疮
797,,,,神识昏塞
798,,,,胸脘痞满
799,,,,少寤多寐
800,,,,经候不时
801,,,,醋心
802,,,,脉浮软
803,,,,上体生疮
804,,,,带下淋浊
805,,,,经来色紫
806,,,,肢体重痛
807,,,,胃脘
808,,,,溏薄不畅
809,,,,脉静身凉
810,,,,血海干涸
811,,,,咽喉干燥
812,,,,精神失常
813,,,,水谷直下
814,,,,心胃气痛
815,,,,苔腻
816,,,,肢节肿痛
817,,,,腹肚冷
818,,,,指头生疔
819,,,,小腹刺痛
820,,,,小腹坚硬
821,,,,日渐黄瘦
822,,,,皮毛枯槁
823,,,,眼睑瘙痒
824,,,,恍惚不寐
825,,,,小腹剗刺痛
826,,,,身目黄赤
827,,,,吞吐酸水
828,,,,大便干秘
829,,,,昏冒不省
830,,,,肌肤赤肿
831,,,,情志不逐
832,,,,目胀
833,,,,筋脉紧急
834,,,,足膝软弱
835,,,,中脘停痰
836,,,,瘦淬食少
837,,,,面目青黑
838,,,,乳内有核
839,,,,头目旋运
840,,,,口唇指甲皆青
841,,,,腰腹疠痛
842,,,,心胸攻筑
843,,,,腹下攻痛
844,,,,心肺积热
845,,,,脉弦沉涩
846,,,,咽中臭如鱼腥
847,,,,发寒
848,,,,膀胱积滞
849,,,,搦搐惊悸
850,,,,不得小便
851,,,,筋惕惊悸
852,,,,肺经空虚
853,,,,腰腹微有胀痛
854,,,,懒食
855,,,,心气膨胀
856,,,,少腹时痛
857,,,,目视昏花
858,,,,血无颜色
859,,,,眼科赤肿
860,,,,舌胎边红
861,,,,遍身如癞
862,,,,皮肤干燥
863,,,,忧思郁怒
864,,,,手足渐麻
865,,,,尿短
866,,,,两足痛
867,,,,痰膈
868,,,,攻腹刺痛
869,,,,百节倦痛
870,,,,脉弦而滑
871,,,,肚腹坚硬
872,,,,大肠经涩
873,,,,大肠干燥
874,,,,带下见红
875,,,,背连腰痛
876,,,,血海暴崩
877,,,,呼吸粗
878,,,,质稠粘
879,,,,少腹积块疼痛
880,,,,脐下结硬疼痛
881,,,,咽疼
882,,,,血室空虚
883,,,,吐乳
884,,,,筋脉偏急
885,,,,心血损耗
886,,,,头身作痛
887,,,,大便结闭
888,,,,脉数弦洪紧涩
889,,,,小腹胀大
890,,,,出血
891,,,,舌正常
892,,,,不得睡眠
893,,,,手足烦倦
894,,,,恶露下不绝
895,,,,营卫不调
896,,,,腹痛下利
897,,,,筋脉肌肉疼痛
898,,,,鼓胀
899,,,,两眼乏神
900,,,,手足冰冷
901,,,,口气亦冷
902,,,,胸闷脘胀
903,,,,山岚瘴气
904,,,,呕吐黄水
905,,,,脐下块结
906,,,,牙疳
907,,,,燥涩麻木
908,,,,阴阳衰废
909,,,,腹肋胀满
910,,,,风痰壅塞
911,,,,乳食不化
912,,,,带下白色
913,,,,经水适断
914,,,,腰膝少力
915,,,,脉濡数
916,,,,脉象濡数
917,,,,语言不出
918,,,,障膜倒睫
919,,,,虫肿
920,,,,胸胁疼
921,,,,心脾刺痛
922,,,,大小便相反
923,,,,形体羸乏
924,,,,头目昏暗
925,,,,体质羸弱
926,,,,经水弱少
927,,,,两尺沉微
928,,,,脉沉弱
929,,,,腹胁(疒丂)痛
930,,,,脉紧弦涩
931,,,,虚肿
932,,,,脏腑疼痛
933,,,,苔黄微干
934,,,,脉细数而滑
935,,,,腹渐大
936,,,,饮食多伤
937,,,,腰腿痠疼
938,,,,肢体痠疼
939,,,,肿痛尿涩
940,,,,舌绛
941,,,,下腹作胀
942,,,,脐下刺痛
943,,,,舌苦
944,,,,阴中作痒
945,,,,咽膈渴苦
946,,,,两耳绝声
947,,,,大便不爽
948,,,,腰膝酸痛
949,,,,少腹作痛
950,,,,喉中蝉声
951,,,,怀抱忧郁
952,,,,舌质淡红
953,,,,喘息急
954,,,,言语微涩
955,,,,心志昏愦
956,,,,四肢顽麻
957,,,,脉弦涩滞
958,,,,心中急痛
959,,,,眩闷
960,,,,脉沉数
961,,,,脉洪数软涩
962,,,,脉浮虚数
963,,,,身体惊战
964,,,,口角流涎
965,,,,小便秘涩
966,,,,遍体浮肿
967,,,,脉数而滑
968,,,,鼻寒
969,,,,腹中疠痛
970,,,,疮痍
971,,,,脉象沉弦
972,,,,腰腹重痛
