group8,group7,group6,group5
"['肝燥碍肺', '咳而无痰']","['肝燥碍肺', '咳而无痰']","['月经后期', '色淡']","['月经后期', '色淡']"
"['手足挛急', '口吐涎沫']","['手足挛急', '口吐涎沫']","['肝燥碍肺', '咳而无痰']","['肝燥碍肺', '咳而无痰']"
"['冲脉少藏', '腹多病']","['冲脉少藏', '腹多病']","['产后', '遍身壮热']","['产后', '遍身壮热']"
"['头目眩晕', '血风劳']","['阳微', '汗多不止']","['吐血不止', '衄血']","['吐血不止', '衄血']"
"['阳微', '汗多不止']","['湿毒阴痒', '阴疼']","['命门不禁', '液脱阳离']","['气息欲绝', '冷汗']"
"['湿毒阴痒', '阴疼']","['狂言', '妄言']","['气息欲绝', '冷汗']","['饮食不下', '肌体羸瘦']"
"['凝结不散', '脚丫作痒']","['脾气受伤', '脾转运滞']","['饮食不下', '肌体羸瘦']","['妊娠', '动胎']"
"['狂言', '妄言']","['便利常涩', '两脚不仁']","['风湿脚气', '寒湿']","['月经不通', '寒热']"
"['脾气受伤', '脾转运滞']","['急性湿疹', '过敏性皮炎']","['产后咳嗽', '心胸不和']","['湿毒阴痒', '阴疼']"
"['便利常涩', '两脚不仁']","['关窍不固', '水不济火']","['冲脉少藏', '腹多病']","['大寒', '多悲']"
"['急性湿疹', '过敏性皮炎']","['下利赤白', '种种带下']","['内劳无度', '液脱阳离']","['不调', '冷热']"
"['关窍不固', '水不济火']","['羞明', '视物不明']","['妊娠', '动胎']","['血风劳', '身疼']"
"['下利赤白', '种种带下']","['胁痛潮热', '咳而无痰']","['舌质红', '量多']","['眼黄', '汗黄']"
"['吐血不止', '咯血']","['心阳内耗', '液脱阳离']","['脾气受伤', '痞塞嗳酸']","['月经不调', '赤白带下']"
"['羞明', '视物不明']","['多倦', '多睡']","['月经不通', '寒热']","['无津以润', '血流如经水']"
"['胁痛潮热', '咳而无痰']","['女子血衰', '容色枯瘁']","['湿毒阴痒', '阴疼']","['虚惊', '心气不安']"
"['心阳内耗', '液脱阳离']","['疮疥', '痈疽发背']","['大寒', '多悲']","['心腹绞急切痛', '不可按摩']"
"['多倦', '多睡']","['烦愦', '不安']","['不调', '冷热']","['惊胎', '惊风']"
"['女子血衰', '容色枯瘁']","['小便如血', '斑出黑色']","['血风劳', '身疼']","['腹胀胎腐', '腰重不能屈伸']"
"['疮疥', '痈疽发背']","['怒郁伤肝', '忧思伤脾']","['眼黄', '汗黄']","['产后', '肚腹痛']"
"['阳微', '牙噤发搐']","['气力疲乏', '停息']","['月经不调', '赤白带下']","['脾气受伤', '脾转运滞']"
"['烦愦', '不安']","['头皮光急', '鬓有疮痍']","['无津以润', '血流如经水']","['小便利数', '耳内虚鸣']"
"['小便如血', '斑出黑色']","['肿硬', '脓血淋漓']","['阴痒', '阴肿']","['痰闭子宫', '肥盛']"
"['怒郁伤肝', '忧思伤脾']","['颧红', '经行乳胀']","['虚惊', '心气不安']","['痈', '疖']"
"['气力疲乏', '停息']","['脉弦数', '舌质红']","['心腹绞急切痛', '不可按摩']","['虚羸', '产后气短']"
"['头皮光急', '鬓有疮痍']","['血气未定', '心下痞闷']","['惊胎', '惊风']","['脾转运滞', '多食厚味']"
"['肿硬', '脓血淋漓']","['上冲心腹', '卵痛']","['腹胀胎腐', '腰重不能屈伸']","['急性湿疹', '过敏性皮炎']"
"['颧红', '经行乳胀']","['多倦', '少力']","['产后', '肚腹痛']","['关窍不固', '水不济火']"
"['脉弦数', '舌质红']","['难产', '涩']","['脾气受伤', '脾转运滞']","['血风攻注', '赤肿疼痛']"
"['血气未定', '心下痞闷']","['瘀血作痛', '肠痈']","['小便利数', '耳内虚鸣']","['下利赤白', '种种带下']"
"['上冲心腹', '卵痛']","['产后气虚', '伤损经络']","['饮食不下', '月经不调']","['言语謇涩', '半身不遂']"
"['多倦', '少力']","['肌肤赤肿', '大头时肿']","['便利常涩', '两脚不仁']","['妊娠血痢', '黄水不绝']"
"['难产', '涩']","['腹苦', '生不乳']","['痰闭子宫', '肥盛']","['上气', '咳逆']"
"['瘀血作痛', '肠痈']","['痢不止', '疟']","['痈', '疖']","['胁痛潮热', '咳而无痰']"
"['产后气虚', '伤损经络']","['肚腹痛', '动胎']","['虚羸', '产后气短']","['胎衣不下', '死胎']"
"['筋脉失养', '痛如行痹']","['羞明', '翳膜']","['腹内成块', '腿胫或肿']","['遍身壮热', '阴寒']"
"['肌肤赤肿', '大头时肿']","['妊娠血痢', '注下不止']","['急性湿疹', '过敏性皮炎']","['腹多病', '气食生冷']"
"['腹苦', '生不乳']","['阴蚀疮', '下肢溃疡']","['脾转运滞', '多食厚味']","['恶肉突出', '趾甲生疮']"
"['痢不止', '疟']","['大便后下血', '衄血']","['关窍不固', '水不济火']","['带下', '崩中漏下']"
"['肚腹痛', '动胎']","['腮虚肿', '鬓有疮痍']","['血风攻注', '赤肿疼痛']","['血衰', '气盛']"
"['羞明', '翳膜']","['小便如血', '胎欲落']","['下利赤白', '种种带下']","['脉紧涩', '恶露纯水']"
"['腹大如妊', '相狎']","['血冲上昏闷', '暴血下']","['言语謇涩', '半身不遂']","['发作抽掣', '眼目反张']"
"['妊娠血痢', '注下不止']","['瘾疹丹起', '筋脉肌肉疼痛']","['阴中生疮', '阴蚀几尽']","['命门不禁', '命门失守']"
"['肚腹痛', '月经过多']","['产后伤寒并痢', '瘦不能食']","['羞明', '视物不明']","['心血虚弱', '含糊謇涩']"
"['带下', '血崩']","['命门失守', '液脱阳离']","['妊娠血痢', '黄水不绝']","['恶疮癣', '野鸡痔']"
"['妇人血气', '冷气']","['悲泣不止', '歌詠言笑']","['上气', '咳逆']","['女子血衰', '容色枯瘁']"
"['阴蚀疮', '下肢溃疡']","['肝脏壅热', '腮颈颐项发肿']","['胁痛潮热', '咳而无痰']","['发脑', '发鬓']"
"['大便后下血', '衄血']","['血热', '月经先期']","['血冲上昏闷', '血暴下']","['心阳内耗', '内劳无度']"
"['腮虚肿', '鬓有疮痍']","['肠风', '痔漏']","['胎衣不下', '死胎']","['疮疥', '痈疽发背']"
"['小便如血', '胎欲落']","['难产', '胎衣不下']","['心阳内耗', '液脱阳离']","['成淋', '小便痛而数']"
"['血冲上昏闷', '暴血下']","['口急', '身如角弓反张']","['遍身壮热', '阴寒']","['阴中肿痛', '带下黑色']"
"['瘾疹丹起', '筋脉肌肉疼痛']","['呻吟', '下瘀']","['腹多病', '气食生冷']","['头皮光急', '鬓有疮痍']"
"['产后伤寒并痢', '瘦不能食']","['胸膈停痰', '痈疽未破']","['恶肉突出', '趾甲生疮']","['气闭肚疼', '白泻']"
"['命门失守', '液脱阳离']","['齿皆恶热饮', '大恶汤饮']","['带下', '崩中漏下']","['咯痰带血', '气怒肺热']"
"['悲泣不止', '歌詠言笑']","['痒涩起赤障', '妊娠目赤肿痛']","['妊娠呕恶冲逆', '不下食']","['肿硬', '脓血淋漓']"
"['言语謇涩', '恍惚']","['瘀血不散', '风滞']","['血衰', '气盛']","['心阳内耗', '命门失守']"
"['肝脏壅热', '腮颈颐项发肿']","['两乳细小', '胃血干燥']","['脉紧涩', '恶露纯水']","['凝结有块', '肿中']"
"['血热', '月经先期']","['阴虚', '内热']","['产门', '结毒']","['飞尸', '鬼疰']"
"['肠风', '痔漏']","['乍作乍止', '气血俱实']","['发作抽掣', '眼目反张']","['结毒', '脓血淋漓']"
"['难产', '胎衣不下']","['妊娠', '伤寒']","['命门不禁', '命门失守']","['风入胞中', '寒凝浊瘀']"
"['口急', '身如角弓反张']","['产后', '头痛']","['心血虚弱', '含糊謇涩']","['阻滞', '溺窍不通']"
"['呻吟', '下瘀']","['小儿胎寒', '大便色黑']","['恶疮癣', '野鸡痔']","['中脘宿冷', '冷血侵脾']"
"['胸膈停痰', '痈疽未破']","['皮聚', '毛落']","['女子血衰', '容色枯瘁']","['胎元久冷', '下部阴湿']"
"['齿皆恶热饮', '大恶汤饮']","['痈', '疮疥']","['发脑', '发鬓']","['内劳无度', '命门不禁']"
"['痒涩起赤障', '妊娠目赤肿痛']","['寒热', '口干']","['心阳内耗', '内劳无度']","['心神恐惧', '啼泣不止']"
"['瘀血不散', '风滞']","['血晕', '昏迷不省']","['疮疥', '痈疽发背']","['痈', '痈疽发背']"
"['两乳细小', '胃血干燥']","['瘙痒', '瘾疹']","['气食生冷', '经准不孕']","['脉弦数', '舌质红']"
"['阴虚', '内热']","['流血不止', '脓血淋漓']","['成淋', '小便痛而数']","['结毒', '肿硬']"
"['侵损荣卫', '精血攻冲']","['带下黄色', '任脉湿热']","['咯痰带血', '衄血']","['血气未定', '心下痞闷']"
"['乍作乍止', '气血俱实']","['啼泣不止', '歌笑无度']","['阴中肿痛', '带下黑色']","['惊泻', '粪稠若胶']"
"['妊娠', '伤寒']","['小儿胎寒', '躽啼']","['头皮光急', '鬓有疮痍']","['上冲心腹', '卵痛']"
"['产后', '头痛']","['舌质红', '舌苔黄腻']","['脚手痹顽', '偏正头风']","['瘀血作痛', '肠痈']"
"['口急', '背项强直']","['侵损荣卫', '病患相感']","['气闭肚疼', '白泻']","['遍身壮热', '伤寒']"
"['小儿胎寒', '大便色黑']","['带下', '不育']","['咯痰带血', '气怒肺热']","['白带腥臭', '任脉湿热']"
"['月经不调', '眩晕']","['遍身壮热', '头痛']","['肿硬', '脓血淋漓']","['口干', '口苦']"
"['皮聚', '毛落']","['脾气受伤', '多食厚味']","['腹多病', '经准不孕']","['身体拘急', '反张']"
"['痈', '疮疥']","['血晕', '胎衣不下']","['心阳内耗', '命门失守']","['气淋', '劳淋']"
"['寒热', '口干']","['腹皮宽胀', '忧乐不常']","['凝结有块', '肿中']","['冬月感寒', '脱衣受风']"
"['血晕', '昏迷不省']","['胞胎寒冷', '胞胎寒冷']","['飞尸', '鬼疰']","['气蛊', '水蛊']"
"['瘙痒', '瘾疹']","['产后', '遍身壮热']","['结毒', '脓血淋漓']","['子宫发育不良', '不排卵']"
"['流血不止', '脓血淋漓']","['产后咳嗽', '心胸不和']","['瘀而为毒', '血衰血阻']","['欲结成痈', '肿痛此热']"
"['带下黄色', '任脉湿热']","['风湿脚气', '寒湿']","['风入胞中', '寒凝浊瘀']","['乳痈', '痈疽发背']"
"['啼泣不止', '歌笑无度']","['舌质红', '量多']","['阻滞', '溺窍不通']","['堕胎', '血结']"
"['小儿胎寒', '躽啼']","['月经不通', '寒热']","['热毒', '上攻']","['手足不遂', '风痹']"
"['舌质红', '舌苔黄腻']","['血风劳', '身疼']","['中脘宿冷', '冷血侵脾']","['痛痒不休', '飞红无靥']"
"['侵损荣卫', '病患相感']","['惊胎', '惊风']","['胎元久冷', '下部阴湿']","['患疟', '素虚']"
"['带下', '不育']","['肝气郁结', '乳房发胀']","['内劳无度', '命门不禁']","['羞明', '翳膜']"
"['遍身壮热', '头痛']","['腰痛下血', '情欲相扰']","['心神恐惧', '啼泣不止']","['腿胫或肿', '肚上筋脉']"
"['脾气受伤', '多食厚味']","['妊娠血痢', '黄水不绝']","['痈', '痈疽发背']","['肚腹痛', '月经不调']"
"['血晕', '胎衣不下']","['烦乱', '腹中拘痛']","['脉弦数', '舌质红']","['妊娠血痢', '注下不止']"
"['腹皮宽胀', '忧乐不常']","['上气', '咳逆']","['结毒', '肿硬']","['肠胃多痰', '血闭带下']"
"['胞胎寒冷', '胞胎寒冷']","['血冲上昏闷', '血暴下']","['血气未定', '心下痞闷']","['关窍不固', '房事过度']"
"['产后', '遍身壮热']","['胎衣不下', '死胎']","['惊泻', '粪稠若胶']","['居处失宜', '偶然顿仆']"
"['产后咳嗽', '心胸不和']","['羞明', '赤眼肿痛']","['上冲心腹', '卵痛']","['胎风', '搐搦']"
"['风湿脚气', '寒湿']","['带下', '崩中漏下']","['多倦', '少力']","['月经不调', '不育']"
"['饮食不下', '月经不通']","['腹苦', '冻如葵汁']","['瘀血作痛', '肠痈']","['中风', '口急']"
"['舌质红', '量多']","['子淋', '热痛']","['遍身壮热', '伤寒']","['赤白带下', '不育']"
"['月经不通', '寒热']","['血衰', '气盛']","['白带腥臭', '任脉湿热']","['阴蚀疮', '下肢溃疡']"
"['血风劳', '身疼']","['产门', '结毒']","['口干', '口苦']","['月经过多', '胎漏']"
"['五劳', '寒湿']","['心血虚弱', '含糊謇涩']","['身体拘急', '反张']","['小儿胎寒虚', '躽啼']"
"['惊胎', '惊风']","['心阳内耗', '内劳无度']","['气淋', '劳淋']","['胎动胎痛', '居处失宜']"
"['肝气郁结', '乳房发胀']","['咯痰带血', '衄血']","['产道干涩', '萎顿']","['腮虚肿', '鬓有疮痍']"
"['难产', '死胎不出']","['寒热', '头痛']","['冬月感寒', '脱衣受风']","['大寒', '白带腥臭']"
"['胞胎肥厚', '腹皮宽胀']","['脚手痹顽', '偏正头风']","['气蛊', '水蛊']","['脏腑虚渴', '脱血过多']"
"['腰痛下血', '情欲相扰']","['气闭肚疼', '白泻']","['子宫发育不良', '不排卵']","['产后', '饮食不下']"
"['妊娠血痢', '黄水不绝']","['结毒', '脓血淋漓']","['松悸不定', '精神恍惚不主']","['脉弦数', '舌苔黄腻']"
"['烦乱', '腹中拘痛']","['阻滞', '溺窍不通']","['欲结成痈', '肿痛此热']","['血溢', '中脘宿冷']"
"['上气', '咳逆']","['中脘宿冷', '冷血侵脾']","['乳痈', '痈疽发背']","['妊娠', '干呕']"
"['血冲上昏闷', '血暴下']","['胎元久冷', '下部阴湿']","['腹苦', '生不乳']","['小便涩', '子淋']"
"['胎衣不下', '死胎']","['饮食不下', '头目眩晕']","['痢不止', '疟']","['饮食不下', '寒热']"
"['羞明', '赤眼肿痛']","['痈', '痈疽发背']","['皮聚', '心肺俱损']","['下痢', '脓血']"
"['带下', '崩中漏下']","['结毒', '肿硬']","['肚腹痛', '动胎']","['房事过度', '水不济火']"
"['腹苦', '冻如葵汁']","['遍身壮热', '伤寒']","['堕胎', '血结']","['血冲上昏闷', '暴血下']"
"['子淋', '热痛']","['口干', '口苦']","['手足不遂', '风痹']","['精冲血管', '贪欢交感']"
"['血衰', '气盛']","['气淋', '劳淋']","['痛痒不休', '飞红无靥']","['白带腥臭', '多悲']"
"['产门', '结毒']","['产道干涩', '萎顿']","['患疟', '素虚']","['产后伤寒并痢', '瘦不能食']"
"['心血虚弱', '含糊謇涩']","['松悸不定', '精神恍惚不主']","['羞明', '翳膜']","['乳上湿疮', '飞红无靥']"
"['心阳内耗', '内劳无度']","['乳痈', '痈疽发背']","['腿胫或肿', '肚上筋脉']","['头痛', '伤寒']"
"['六脉乍大乍小', '相狎']","['月经过多', '血崩']","['肚腹痛', '月经不调']","['口急', '昏迷不省']"
"['咯痰带血', '衄血']","['皮聚', '心肺俱损']","['妊娠血痢', '注下不止']","['心阳内耗', '命门不禁']"
"['寒热', '头痛']","['喘促', '大小便不通']","['肠胃多痰', '血闭带下']","['脓血', '里急后重']"
"['脚手痹顽', '偏正头风']","['患疟', '素虚']","['关窍不固', '房事过度']","['半身不遂', '脚手痹顽']"
"['面色乍赤乍白', '相狎']","['肠胃多痰', '血闭带下']","['中风', '言语不得']","['结毒', '流血不止']"
"['气闭肚疼', '白泻']","['关窍不固', '房事过度']","['中脘宿冷', '嗳闻血腥']","['攀睛胬肉', '拳毛倒睫']"
"['结毒', '脓血淋漓']","['居处失宜', '偶然顿仆']","['胎风', '搐搦']","['悲泣不止', '歌詠言笑']"
"['阻滞', '溺窍不通']","['胎风', '搐搦']","['居处失宜', '偶然顿仆']","['口烂', '眼赤']"
"['中脘宿冷', '冷血侵脾']","['赤白带下', '不育']","['月经不调', '不育']","['腹内壅塞', '疾恶']"
"['胎元久冷', '下部阴湿']","['月经过多', '胎漏']","['中风', '口急']","['心火不静', '热传于脾']"
"['饮食不下', '头目眩晕']","['疮疥', '瘰疬']","['腰痛下血', '侵损荣卫']","['咳嗽', '喘促']"
"['痈', '痈疽发背']","['大寒', '白带腥臭']","['赤白带下', '不育']","['半身不遂', '左瘫右痪']"
"['结毒', '肿硬']","['痰饮', '壅盛']","['阴蚀疮', '下肢溃疡']","['丹疹', '斑']"
"['衄血', '咳血']","['产后', '饮食不下']","['月经过多', '胎漏']","['痈疽发背', '疖']"
"['遍身壮热', '伤寒']","['肉烂', '皮损']","['小儿胎寒虚', '躽啼']","['死胎不出', '横生逆产']"
"['口干', '口苦']","['干呕', '痢不止']","['胎动胎痛', '居处失宜']","['肝脏壅热', '腮颈颐项发肿']"
"['气淋', '劳淋']","['妊娠', '干呕']","['腮虚肿', '鬓有疮痍']","['遍身壮热', '口干']"
"['产道干涩', '萎顿']","['饮食不下', '寒热']","['大寒', '白带腥臭']","['便利常涩', '小腹顽痹']"
"['松悸不定', '精神恍惚不主']","['下痢', '脓血']","['痰饮', '壅盛']","['血热', '月经先期']"
"['乳痈', '痈疽发背']","['精冲血管', '贪欢交感']","['产后', '饮食不下']","['胎欲落', '斑出黑色']"
"['月经过多', '血崩']","['干呕', '眩晕']","['脉弦数', '舌苔黄腻']","['难产', '死胎']"
"['皮聚', '心肺俱损']","['肝气郁结', '色紫']","['血溢', '中脘宿冷']","['眩晕', '头目眩晕']"
"['喘促', '大小便不通']","['结毒', '流血不止']","['小便如血', '胎欲落']","['四肢肿', '头面肿满']"
"['患疟', '素虚']","['腹内壅塞', '疾恶']","['肉烂', '皮损']","['肠风', '痔漏']"
"['吞酸', '噫气']","['咳嗽', '喘促']","['脏腑虚渴', '脱血过多']","['妊娠', '肚腹痛']"
"['肠胃多痰', '血闭带下']","['翳膜', '拳毛倒睫']","['妊娠', '干呕']","['难产', '胎衣不下']"
"['关窍不固', '房事过度']","['丹疹', '斑']","['小便涩', '子淋']","['口急', '身如角弓反张']"
"['居处失宜', '偶然顿仆']","['死胎不出', '横生逆产']","['饮食不下', '寒热']","['气息急', '血露不绝']"
"['头痛', '头目眩晕']","['偏枯', '手足不遂']","['下痢', '脓血']","['干呕', '头痛']"
"['胎风', '搐搦']","['痈疽发背', '疔疮']","['房事过度', '水不济火']","['饮食不下', '干呕']"
"['赤白带下', '不育']","['四肢肿', '头面肿满']","['血冲上昏闷', '暴血下']","['牙关紧闭', '手足挛急']"
"['月经过多', '胎漏']","['气息急', '血露不绝']","['瘾疹丹起', '筋脉肌肉疼痛']","['骨弱', '弦急']"
"['疮疥', '瘰疬']","['妊娠', '肚腹痛']","['精冲血管', '贪欢交感']","['脚手痹顽', '左瘫右痪']"
"['大寒', '白带腥臭']","['饮食不下', '干呕']","['干呕', '眩晕']","['乳上湿疮', '脓血淋漓成片']"
