group8,group7,group6,group5
"['痰饮', '壅盛']","['侵损荣卫', '情欲相扰']","['白带腥臭', '多悲']","['痒涩起赤障', '妊娠目赤肿痛']"
"['肉烂', '皮损']","['脉两尺沉涩', '硬而有块']","['产后伤寒并痢', '瘦不能食']","['白带腥臭', '带下黄色']"
"['产后', '饮食不下']","['肥白', '月信准']","['乳上湿疮', '飞红无靥']","['肥白', '月信准']"
"['干呕', '痢不止']","['痰闭子宫', '肥白']","['头痛', '伤寒']","['产门', '不闭']"
"['妊娠', '干呕']","['舌质淡', '舌苔花白']","['口急', '昏迷不省']","['痰闭子宫', '肥白']"
"['饮食不下', '寒热']","['肿硬', '流血不止']","['心阳内耗', '命门不禁']","['子悬', '胎气不和']"
"['下痢', '脓血']","['腮虚肿', '头皮光急']","['脓血', '里急后重']","['过敏性皮炎', '皮炎']"
"['精冲血管', '贪欢交感']","['肝郁化火', '经行乳胀']","['半身不遂', '脚手痹顽']","['干呕', '恶心']"
"['干呕', '眩晕']","['中风', '四肢急掣']","['结毒', '流血不止']","['妊娠', '伤寒']"
"['肝气郁结', '色紫']","['乳上湿疮', '痛痒不休']","['命门失守', '液脱阳离']","['不育', '阴中冷']"
"['结毒', '流血不止']","['病温', '脉静身凉']","['攀睛胬肉', '拳毛倒睫']","['乍作乍止', '气血俱实']"
"['腹内壅塞', '疾恶']","['屡产', '生而不寿']","['悲泣不止', '歌詠言笑']","['腹大如妊', '面色乍赤乍白']"
"['咳嗽', '喘促']","['月经不调', '肌体羸瘦']","['口烂', '眼赤']","['闭目不省', '血厥']"
"['翳膜', '拳毛倒睫']","['月经不通', '结生瘕聚']","['腹内壅塞', '疾恶']","['血脉不荣', '冲脉少藏']"
"['丹疹', '斑']","['痈疽发背', '瘰疬']","['心火不静', '热传于脾']","['舌质淡', '舌苔花白']"
"['胯痛', '臀酸痛']","['足下热', '额黑']","['脾转运滞', '痞塞嗳酸']","['妊而数堕', '屡产']"
"['死胎不出', '横生逆产']","['肝郁化火', '颧红']","['阴中冷', '小便浊败']","['小儿胎寒', '大便色黑']"
"['偏枯', '手足不遂']","['心神惊悸', '恍惚']","['咳嗽', '喘促']","['衄血', '咯血']"
"['痈疽发背', '疔疮']","['生不乳', '冻如葵汁']","['半身不遂', '左瘫右痪']","['经水如黄浆汁', '经水如黄浆汁']"
"['吐泻', '手足厥寒']","['唯喜干食', '大恶汤饮']","['翳膜', '拳毛倒睫']","['肿硬', '流血不止']"
"['四肢肿', '头面肿满']","['毛落', '心肺俱损']","['丹疹', '斑']","['腮虚肿', '头皮光急']"
"['妊娠', '肚腹痛']","['热入血室', '经水忽来忽断']","['痈疽发背', '疖']","['涩', '热毒']"
"['气息急', '血露不绝']","['腿膝', '闷喘']","['死胎不出', '横生逆产']","['雀斑', '面上细疮']"
"['饮食不下', '干呕']","['吐血不止', '大便后下血']","['肝脏壅热', '腮颈颐项发肿']","['内劳无度', '命门失守']"
"['侵损荣卫', '情欲相扰']","['月经后期', '脉沉而迟']","['腰重不能屈伸', '眼胞肿']","['中风', '四肢急掣']"
"['冲脉少藏', '经准不孕']","['少腹胀满', '月事不']","['遍身壮热', '口干']","['舌肿', '重舌']"
"['多睡', '四肢痠痛']","['齿皆恶热饮', '唯喜干食']","['便利常涩', '小腹顽痹']","['皮聚', '毛落']"
"['脉两尺沉涩', '硬而有块']","['久痢', '久疟']","['血热', '月经先期']","['霍乱', '吐泻']"
"['肥白', '月信准']","['产后', '中风']","['胎欲落', '斑出黑色']","['恶气熏人', '腋臭狐臊']"
"['痰闭子宫', '肥白']","['昏迷不省', '牙关紧闭']","['难产', '死胎']","['产后', '干呕']"
"['胎燥萎', '心中急痛']","['产后中气不足', '胸膈窒滞']","['痈疽发背', '疔疮']","['乳上湿疮', '痛痒不休']"
"['舌质淡', '舌苔花白']","['胎衣不下', '堕胎']","['眩晕', '头目眩晕']","['痈', '疮疥']"
"['肿硬', '流血不止']","['月经后期', '色淡']","['四肢肿', '头面肿满']","['妊娠', '饮食不下']"
"['腮虚肿', '头皮光急']","['吐血不止', '衄血']","['肠风', '痔漏']","['血晕', '昏迷不省']"
"['肝郁化火', '经行乳胀']","['命门不禁', '液脱阳离']","['妊娠', '肚腹痛']","['毒结肠胃', '血气未充']"
"['中风', '四肢急掣']","['气息欲绝', '冷汗']","['难产', '胎衣不下']","['屡产', '生而不寿']"
"['乳上湿疮', '痛痒不休']","['内劳无度', '液脱阳离']","['口急', '身如角弓反张']","['中风', '言语謇涩']"
"['病温', '脉静身凉']","['脾气受伤', '痞塞嗳酸']","['呻吟', '下瘀']","['急性湿疹', '皮炎']"
"['屡产', '生而不寿']","['大寒', '多悲']","['气息急', '血露不绝']","['赤白带下', '血崩']"
"['产后', '恶露未尽']","['不调', '冷热']","['干呕', '头痛']","['满腹行走', '古怪异物']"
"['月经不调', '肌体羸瘦']","['无津以润', '血流如经水']","['饮食不下', '干呕']","['流血不止', '脓血淋漓']"
"['月经不通', '结生瘕聚']","['虚惊', '心气不安']","['妊娠', '头痛']","['带下黄色', '任脉湿热']"
"['痈疽发背', '瘰疬']","['腹胀胎腐', '腰重不能屈伸']","['牙关紧闭', '手足挛急']","['两乳忽长', '细小如肠']"
"['足下热', '额黑']","['产后', '肚腹痛']","['脚手痹顽', '左瘫右痪']","['肾气不旺', '两腿虚浮']"
"['肝郁化火', '颧红']","['经水将行', '气滞血实']","['骨弱', '弦急']","['啼泣不止', '歌笑无度']"
"['心神惊悸', '恍惚']","['小便利数', '耳内虚鸣']","['乳上湿疮', '脓血淋漓成片']","['脓血淋漓成片', '飞红无靥']"
"['生不乳', '冻如葵汁']","['饮食不下', '月经不调']","['齿皆恶热饮', '大恶汤饮']","['言语謇涩', '四肢急掣']"
"['唯喜干食', '大恶汤饮']","['血风劳', '四肢急掣']","['侵损荣卫', '情欲相扰']","['舌质红', '舌苔黄腻']"
"['毛落', '心肺俱损']","['痈', '疖']","['白带腥臭', '带下黄色']","['腹大如妊', '六脉乍大乍小']"
"['热入血室', '经水忽来忽断']","['阴中生疮', '阴蚀几尽']","['痒涩起赤障', '妊娠目赤肿痛']","['六脉乍大乍小', '面色乍赤乍白']"
"['腿膝', '闷喘']","['遍身壮热', '阴寒']","['咯痰带血', '咯血']","['痛痒不休', '脓血淋漓成片']"
"['腰痛下血', '病患相感']","['腹多病', '气食生冷']","['脉两尺沉涩', '硬而有块']","['头面生癞', '痒痛不安']"
"['吐血不止', '大便后下血']","['命门不禁', '命门失守']","['阴虚', '内热']","['胁痛潮热', '肝燥碍肺']"
"['月经后期', '脉沉而迟']","['恶疮癣', '野鸡痔']","['肥白', '月信准']","['遍身壮热', '头痛']"
"['少腹胀满', '月事不']","['发脑', '发鬓']","['产门', '不闭']","['吐血不止', '大便后下血']"
"['齿皆恶热饮', '唯喜干食']","['气食生冷', '经准不孕']","['痰闭子宫', '肥白']","['腿漆浮肿', '脚面足趾水出']"
"['久痢', '久疟']","['咯痰带血', '气怒肺热']","['子悬', '胎气不和']","['动胎', '月经过多']"
"['产后', '中风']","['瘀而为毒', '血衰血阻']","['过敏性皮炎', '皮炎']","['月经后期', '脉沉而迟']"
"['昏迷不省', '牙关紧闭']","['心神恐惧', '歌笑无度']","['干呕', '恶心']","['胎动胎痛', '偶然顿仆']"
"['产后中气不足', '胸膈窒滞']","['风入胞中', '寒凝浊瘀']","['妊娠', '伤寒']","['脾气受伤', '多食厚味']"
"['睡中呢喃', '视听言动虚妄']","['心神恐惧', '啼泣不止']","['不育', '阴中冷']","['齿皆恶热饮', '唯喜干食']"
"['胎衣不下', '堕胎']","['中风', '身如角弓反张']","['乍作乍止', '气血俱实']","['久痢', '久疟']"
"['月经后期', '色淡']","['口急', '言语不得']","['壅热', '渴逆']","['产后', '中风']"
"['遍身壮热', '咳嗽']","['白带腥臭', '任脉湿热']","['腹大如妊', '面色乍赤乍白']","['血晕', '胎衣不下']"
"['吐血不止', '衄血']","['身体拘急', '反张']","['产后', '头痛']","['赤白带下', '阴中冷']"
"['命门不禁', '液脱阳离']","['欲结成痈', '肿痛此热']","['闭目不省', '血厥']","['阴门瘙痒', '内外生疮']"
"['气息欲绝', '冷汗']","['产后', '寒热']","['血脉不荣', '冲脉少藏']","['胞胎寒冷', '胞胎寒冷']"
"['内劳无度', '液脱阳离']","['堕胎', '血结']","['舌质淡', '舌苔花白']","['胎衣不下', '堕胎']"
"['脾气受伤', '痞塞嗳酸']","['手足不遂', '风痹']","['妊而数堕', '屡产']","['胁痛潮热', '肝燥碍肺', '咳而无痰']"
"['大寒', '多悲']","['腿胫或肿', '肚上筋脉']","['小儿胎寒', '大便色黑']","['结毒', '流血不止', '脓血淋漓']"
"['不调', '冷热']","['肚腹痛', '月经不调']","['衄血', '咯血']","['痛痒不休', '脓血淋漓成片', '飞红无靥']"
"['无津以润', '血流如经水']","['中脘宿冷', '嗳闻血腥']","['经水如黄浆汁', '经水如黄浆汁']","['腹大如妊', '六脉乍大乍小', '面色乍赤乍白']"
"['虚惊', '心气不安']","['月经不调', '不育']","['肿硬', '流血不止']","['心阳内耗', '内劳无度', '命门失守']"
"['腹胀胎腐', '腰重不能屈伸']","['腰痛下血', '侵损荣卫']","['腮虚肿', '头皮光急']","['结毒', '肿硬', '流血不止']"
"['产后', '肚腹痛']","['生而不寿', '服气不安']","['涩', '热毒']","['肿硬', '流血不止', '脓血淋漓']"
"['经水将行', '气滞血实']","['胎动胎痛', '居处失宜']","['多食厚味', '痞塞嗳酸']","['半身不遂', '脚手痹顽', '左瘫右痪']"
"['小便利数', '耳内虚鸣']","['小儿胎寒虚', '躽啼']","['雀斑', '面上细疮']","['关窍不固', '房事过度', '水不济火']"
"['饮食不下', '月经不调']","['情欲相扰', '病患相感']","['内劳无度', '命门失守']","['脉弦数', '舌质红', '舌苔黄腻']"
"['血风劳', '四肢急掣']","['小便涩', '子淋']","['中风', '四肢急掣']","['白带腥臭', '带下黄色', '任脉湿热']"
"['痈', '疖']","['血溢', '嗳闻血腥']","['舌肿', '重舌']","['产后', '饮食不下', '干呕']"
"['子痫', '倒错不识人']","['白带腥臭', '多悲']","['皮聚', '毛落']","['中风', '言语謇涩', '四肢急掣']"
"['畏风', '脑痛如破']","['头痛', '伤寒']","['霍乱', '吐泻']","['大寒', '白带腥臭', '多悲']"
"['干呕', '妊娠呕恶冲逆']","['心阳内耗', '命门不禁']","['恶气熏人', '腋臭狐臊']","['痈', '疮疥', '痈疽发背']"
"['阴中生疮', '阴蚀几尽']","['脓血', '里急后重']","['产后', '干呕']","['赤白带下', '不育', '阴中冷']"
"['遍身壮热', '阴寒']","['口烂', '眼赤']","['乳上湿疮', '痛痒不休']","['胎动胎痛', '居处失宜', '偶然顿仆']"
"['腹多病', '气食生冷']","['痈', '瘰疬']","['痈', '疮疥']","['内劳无度', '命门不禁', '命门失守']"
"['命门不禁', '命门失守']","['心火不静', '热传于脾']","['妊娠', '饮食不下']","['脾气受伤', '脾转运滞', '多食厚味']"
"['恶疮癣', '野鸡痔']","['脾转运滞', '痞塞嗳酸']","['寒热', '口干']","['妊娠', '饮食不下', '干呕']"
"['发脑', '发鬓']","['阴中冷', '小便浊败']","['血晕', '昏迷不省']","['心阳内耗', '内劳无度', '命门不禁']"
"['气食生冷', '经准不孕']","['半身不遂', '左瘫右痪']","['毒结肠胃', '血气未充']","['乳上湿疮', '痛痒不休', '脓血淋漓成片']"
"['咯痰带血', '气怒肺热']","['心摇', '奇脉亏损']","['屡产', '生而不寿']","['月经不调', '赤白带下', '不育']"
"['瘀而为毒', '血衰血阻']","['遍身壮热', '口干']","['冷血侵脾', '嗳闻血腥']","['难产', '胎衣不下', '死胎']"
"['心神恐惧', '歌笑无度']","['胎欲落', '斑出黑色']","['中风', '言语謇涩']","['乳上湿疮', '痛痒不休', '飞红无靥']"
"['风入胞中', '寒凝浊瘀']","['难产', '死胎']","['急性湿疹', '皮炎']","['遍身壮热', '头痛', '伤寒']"
"['心神恐惧', '啼泣不止']","['眩晕', '头目眩晕']","['痈', '乳痈']","['乳上湿疮', '脓血淋漓成片', '飞红无靥']"
"['中风', '身如角弓反张']","['白带腥臭', '带下黄色']","['赤白带下', '血崩']","['结毒', '肿硬', '脓血淋漓']"
"['口急', '言语不得']","['咳血', '咯血']","['满腹行走', '古怪异物']","['痈', '痈疽发背', '疖']"
"['妊娠咳嗽', '子嗽']","['产门', '不闭']","['流血不止', '脓血淋漓']","['心阳内耗', '命门不禁', '命门失守']"
"['白带腥臭', '任脉湿热']","['子悬', '胎气不和']","['带下黄色', '任脉湿热']","['急性湿疹', '过敏性皮炎', '皮炎']"
"['身体拘急', '反张']","['过敏性皮炎', '皮炎']","['两乳忽长', '细小如肠']","['腮虚肿', '头皮光急', '鬓有疮痍']"
"['欲结成痈', '肿痛此热']","['不育', '阴中冷']","['肾气不旺', '两腿虚浮']","['结毒', '肿硬', '流血不止', '脓血淋漓']"
"['产后', '寒热']","['冲脉少藏', '气食生冷']","['血溢', '冷血侵脾']","['乳上湿疮', '痛痒不休', '脓血淋漓成片', '飞红无靥']"
"['堕胎', '血结']","['翻胃', '气膈']","['身体俱黄', '额黑']","['心阳内耗', '内劳无度', '命门不禁', '命门失守']"
"['手足不遂', '风痹']","['壅热', '渴逆']","['痈疽发背', '瘰疬']",
"['腿胫或肿', '肚上筋脉']","['腹大如妊', '面色乍赤乍白']","['乳痈', '肿痛']",
"['肚腹痛', '月经不调']","['衄血', '咯血']","['啼泣不止', '歌笑无度']",
"['中脘宿冷', '嗳闻血腥']","['涩', '热毒']","['小儿胎寒', '躽啼']",
"['月经不调', '不育']","['雀斑', '面上细疮']","['小腹顽痹', '两脚不仁']",
"['腰痛下血', '侵损荣卫']","['舌肿', '重舌']","['脓血淋漓成片', '飞红无靥']",
"['生而不寿', '服气不安']","['霍乱', '吐泻']","['言语謇涩', '四肢急掣']",
"['胎动胎痛', '居处失宜']","['毒结肠胃', '血气未充']","['舌质红', '舌苔黄腻']",
"['小儿胎寒虚', '躽啼']","['中风', '言语謇涩']","['腹大如妊', '六脉乍大乍小']",
"['水道涩痛', '脚膝痿缓']","['急性湿疹', '皮炎']","['六脉乍大乍小', '面色乍赤乍白']",
"['情欲相扰', '病患相感']","['赤白带下', '血崩']","['肝郁化火', '颧红']",
"['小便涩', '子淋']","['产门', '肿硬']","['头面生癞', '痒痛不安']",
"['血溢', '嗳闻血腥']","['血溢', '冷血侵脾']","['痛痒不休', '脓血淋漓成片']",
"['心热', '面色发红']","['乳痈', '肿痛']","['唯喜干食', '大恶汤饮']",
"['淋', '淋证']","['脓血淋漓成片', '飞红无靥']","['带下', '不育']",
"['白带腥臭', '多悲']","['腹大如妊', '六脉乍大乍小']","['热入血室', '经水忽来忽断']",
"['头痛', '伤寒']","['六脉乍大乍小', '面色乍赤乍白']","['毛落', '心肺俱损']",
"['心阳内耗', '命门不禁']","['痛痒不休', '脓血淋漓成片']","['遍身壮热', '头痛']",
"['脓血', '里急后重']","['头面生癞', '痒痛不安']","['月经不调', '带下']",
"['胎气有伤', '腮项肿核']","['胁痛潮热', '肝燥碍肺']","['吐血不止', '大便后下血']",
"['汗多不止', '牙噤发搐']","['月经不调', '带下']","['胁痛潮热', '肝燥碍肺']",
"['口烂', '眼赤']","['腿漆浮肿', '脚面足趾水出']","['动胎', '月经过多']",
"['痈', '瘰疬']","['胎动胎痛', '偶然顿仆']","['月经后期', '脉沉而迟']",
"['心火不静', '热传于脾']","['心神恐惧', '悲思愁忧']","['少腹胀满', '月事不']",
"['妊娠', '口干']","['乳上湿疮', '脓血淋漓成片']","['腿漆浮肿', '脚面足趾水出']",
"['脾转运滞', '痞塞嗳酸']","['阴门瘙痒', '内外生疮']","['胎动胎痛', '偶然顿仆']",
"['阴中冷', '小便浊败']","['眩晕', '耳内虚鸣']","['脾气受伤', '多食厚味']",
"['半身不遂', '左瘫右痪']","['妊娠', '月经过多']","['齿皆恶热饮', '唯喜干食']",
"['心摇', '奇脉亏损']","['赤白带下', '小便浊败']","['久痢', '久疟']",
"['遍身壮热', '口干']","['饮食不下', '肌体羸瘦']","['食积', '食滞']",
"['胎欲落', '斑出黑色']","['妊娠', '动胎']","['昏迷不省', '牙关紧闭']",
"['难产', '死胎']","['眼黄', '汗黄']","['产后', '中风']",
"['眩晕', '头目眩晕']","['月经不调', '赤白带下']","['血晕', '胎衣不下']",
"['白带腥臭', '带下黄色']","['阴痒', '阴肿']","['产后中气不足', '胸膈窒滞']",
"['咳血', '咯血']","['心腹绞急切痛', '不可按摩']","['心神恐惧', '悲思愁忧']",
"['产门', '不闭']","['痰闭子宫', '肥盛']","['腹胀胎腐', '眼胞肿']",
"['子悬', '胎气不和']","['虚羸', '产后气短']","['赤白带下', '阴中冷']",
"['手足壮热', '额黑']","['脾转运滞', '多食厚味']","['阴门瘙痒', '内外生疮']",
"['过敏性皮炎', '皮炎']","['腹内成块', '腿胫或肿']","['胞胎寒冷', '胞胎寒冷']",
"['不育', '阴中冷']","['血风攻注', '赤肿疼痛']","['胎衣不下', '堕胎']",
"['冲脉少藏', '气食生冷']","['言语謇涩', '半身不遂']","['内劳无度', '命门失守', '液脱阳离']",
"['眩晕', '眼目昏花']","['肚腹痛', '痢不止']","['胁痛潮热', '肝燥碍肺', '咳而无痰']",
"['翻胃', '气膈']","['恶肉突出', '趾甲生疮']","['结毒', '流血不止', '脓血淋漓']",
"['壅热', '渴逆']","['精冷', '痿弱']","['痛痒不休', '脓血淋漓成片', '飞红无靥']",
"['腹大如妊', '面色乍赤乍白']","['妊娠呕恶冲逆', '不下食']","['月经不调', '带下', '不育']",
"['衄血', '咯血']","['脉紧涩', '恶露纯水']","['中脘宿冷', '冷血侵脾', '嗳闻血腥']",
"['产门', '流血不止']","['发作抽掣', '眼目反张']","['腹大如妊', '六脉乍大乍小', '面色乍赤乍白']",
"['涩', '热毒']","['成淋', '小便痛而数']","['心阳内耗', '内劳无度', '命门失守']",
"['雀斑', '面上细疮']","['阴中肿痛', '带下黑色']","['腹胀胎腐', '腰重不能屈伸', '眼胞肿']",
"['舌肿', '重舌']","['腹多病', '经准不孕']","['内劳无度', '命门不禁', '液脱阳离']",
"['霍乱', '吐泻']","['心阳内耗', '命门失守']","['结毒', '肿硬', '流血不止']",
"['肌体羸瘦', '元气虚惫']","['凝结有块', '肿中']","['肿硬', '流血不止', '脓血淋漓']",
"['白带腥臭', '浊淫']","['飞尸', '鬼疰']","['产后', '干呕', '头痛']",
"['毒结肠胃', '血气未充']","['内劳无度', '命门不禁']","['心阳内耗', '内劳无度', '液脱阳离']",
