group8,group7,group6,group5
"['中风', '言语謇涩']","['热毒', '上攻']","['半身不遂', '脚手痹顽', '左瘫右痪']",
"['急性湿疹', '皮炎']","['虚胀', '冷癖']","['关窍不固', '房事过度', '水不济火']",
"['赤白带下', '血崩']","['横生逆产', '倒生']","['脉弦数', '舌质红', '舌苔黄腻']",
"['不乳出', '脉涩不行']","['惊泻', '粪稠若胶']","['白带腥臭', '带下黄色', '任脉湿热']",
"['情欲相扰', '精血攻冲']","['月经后期', '血下少']","['妊娠', '头痛', '伤寒']",
"['产门', '肿硬']","['五心如炙', '脉弦大有力']","['产后', '饮食不下', '干呕']",
"['血溢', '冷血侵脾']","['冬月感寒', '脱衣受风']","['心阳内耗', '命门不禁', '液脱阳离']",
"['乳痈', '肿痛']","['气蛊', '水蛊']","['心阳内耗', '命门失守', '液脱阳离']",
"['脓血淋漓成片', '飞红无靥']","['子宫发育不良', '不排卵']","['中风', '言语謇涩', '四肢急掣']",
"['腹大如妊', '六脉乍大乍小']","['痛痒不休', '飞红无靥']","['便利常涩', '小腹顽痹', '两脚不仁']",
"['六脉乍大乍小', '面色乍赤乍白']","['中风', '言语不得']","['产后', '遍身壮热', '头痛']",
"['痛痒不休', '脓血淋漓成片']","['中风', '口急']","['大寒', '白带腥臭', '多悲']",
"['头面生癞', '痒痛不安']","['脏腑虚渴', '脱血过多']","['血溢', '中脘宿冷', '冷血侵脾']",
"['胁痛潮热', '肝燥碍肺']","['血溢', '中脘宿冷']","['咯痰带血', '衄血', '咯血']",
"['渐渐羸瘦', '面色黄青']","['脉弦数', '舌苔黄腻']","['痈', '疮疥', '痈疽发背']",
"['月经不调', '带下']","['难产', '血晕']","['痈', '乳痈', '痈疽发背']",
"['腿漆浮肿', '脚面足趾水出']","['腹内成块', '肚上筋脉']","['脾气受伤', '脾转运滞', '痞塞嗳酸']",
"['胎动胎痛', '偶然顿仆']","['房事过度', '水不济火']","['妊娠', '干呕', '头痛']",
"['心神恐惧', '悲思愁忧']","['乳上湿疮', '飞红无靥']","['赤白带下', '不育', '阴中冷']",
"['乳上湿疮', '脓血淋漓成片']","['口急', '昏迷不省']","['胎动胎痛', '居处失宜', '偶然顿仆']",
"['阴门瘙痒', '内外生疮']","['半身不遂', '脚手痹顽']","['齿皆恶热饮', '唯喜干食', '大恶汤饮']",
"['眩晕', '耳内虚鸣']","['攀睛胬肉', '拳毛倒睫']","['内劳无度', '命门不禁', '命门失守']",
"['妊娠', '月经过多']","['痈疽发背', '疖']","['脾气受伤', '脾转运滞', '多食厚味']",
"['赤白带下', '小便浊败']","['腰重不能屈伸', '眼胞肿']","['妊娠', '饮食不下', '干呕']",
"['饮食不下', '肌体羸瘦']","['便利常涩', '小腹顽痹']","['心阳内耗', '内劳无度', '命门不禁']",
"['妊娠', '动胎']","['咳嗽', '口干']","['乳上湿疮', '痛痒不休', '脓血淋漓成片']",
"['眼黄', '汗黄']","['舌质淡', '苔薄']","['腹多病', '气食生冷', '经准不孕']",
"['月经不调', '赤白带下']","['干呕', '头痛']","['脾转运滞', '多食厚味', '痞塞嗳酸']",
"['阴痒', '阴肿']","['牙关紧闭', '手足挛急']","['难产', '胎衣不下', '死胎']",
"['心腹绞急切痛', '不可按摩']","['妊娠', '头痛']","['月经不调', '赤白带下', '不育']",
"['身如角弓反张', '口眼歪斜']","['骨弱', '弦急']","['乳上湿疮', '痛痒不休', '飞红无靥']",
"['病患相感', '精血攻冲']","['脚手痹顽', '左瘫右痪']","['妊娠', '肚腹痛', '动胎']",
"['痰闭子宫', '肥盛']","['咯痰带血', '咯血']","['脾气受伤', '多食厚味', '痞塞嗳酸']",
"['虚羸', '产后气短']","['干呕', '恶心']","['遍身壮热', '头痛', '伤寒']",
"['脾转运滞', '多食厚味']","['闭目不省', '血厥']","['皮聚', '毛落', '心肺俱损']",
"['流血不止', '精冲血管']","['血脉不荣', '冲脉少藏']","['乳上湿疮', '脓血淋漓成片', '飞红无靥']",
"['腹内成块', '腿胫或肿']","['妊而数堕', '屡产']","['结毒', '肿硬', '脓血淋漓']",
"['恶露未尽', '血晕']","['口眼抽动', '陡然抽风']","['痈', '痈疽发背', '疖']",
"['血风攻注', '赤肿疼痛']","['经水如黄浆汁', '经水如黄浆汁']","['心阳内耗', '命门不禁', '命门失守']",
"['言语謇涩', '半身不遂']","['多食厚味', '痞塞嗳酸']","['急性湿疹', '过敏性皮炎', '皮炎']",
"['肚腹痛', '痢不止']","['内劳无度', '命门失守']","['命门不禁', '命门失守', '液脱阳离']",
"['恶肉突出', '趾甲生疮']","['恶气熏人', '腋臭狐臊']","['腮虚肿', '头皮光急', '鬓有疮痍']",
"['精冷', '痿弱']","['产后', '干呕']","['内劳无度', '命门不禁', '命门失守', '液脱阳离']",
"['妊娠呕恶冲逆', '不下食']","['妊娠', '饮食不下']","['心阳内耗', '内劳无度', '命门失守', '液脱阳离']",
"['脉紧涩', '恶露纯水']","['冷血侵脾', '嗳闻血腥']","['心阳内耗', '内劳无度', '命门不禁', '液脱阳离']",
"['发作抽掣', '眼目反张']","['痈', '乳痈']","['乳上湿疮', '痛痒不休', '脓血淋漓成片', '飞红无靥']",
"['成淋', '小便痛而数']","['满腹行走', '古怪异物']","['脾气受伤', '脾转运滞', '多食厚味', '痞塞嗳酸']",
"['阴中肿痛', '带下黑色']","['两乳忽长', '细小如肠']","['心阳内耗', '命门不禁', '命门失守', '液脱阳离']",
"['气滞', '经前腹痛']","['肾气不旺', '两腿虚浮']","['结毒', '肿硬', '流血不止', '脓血淋漓']",
"['腹多病', '经准不孕']","['身体俱黄', '额黑']","['心阳内耗', '内劳无度', '命门不禁', '命门失守']",
"['心阳内耗', '命门失守']","['小腹顽痹', '两脚不仁']","['心阳内耗', '内劳无度', '命门不禁', '命门失守', '液脱阳离']",
"['凝结有块', '肿中']","['言语謇涩', '四肢急掣']",,
"['飞尸', '鬼疰']","['胎毒疮', '脓疥']",,
"['内劳无度', '命门不禁']","['霍乱', '小腿转筋']",,
"['热毒', '上攻']","['风湿脚气', '疝气']",,
"['虚胀', '冷癖']","['动胎', '月经过多']",,
"['横生逆产', '倒生']","['食积', '食滞']",,
"['惊泻', '粪稠若胶']","['胎毒疮', '头面生癞']",,
"['月经后期', '血下少']","['白带腥臭', '虚寒带下']",,
"['五心如炙', '脉弦大有力']","['腹胀胎腐', '眼胞肿']",,
"['赤眼肿痛', '翳膜']","['赤白带下', '阴中冷']",,
"['冬月感寒', '脱衣受风']","['内劳无度', '命门失守', '液脱阳离']",,
"['气蛊', '水蛊']","['胁痛潮热', '肝燥碍肺', '咳而无痰']",,
"['子宫发育不良', '不排卵']","['结毒', '流血不止', '脓血淋漓']",,
"['瘀血未尽', '攻痛成疾']","['痛痒不休', '脓血淋漓成片', '飞红无靥']",,
"['痛痒不休', '飞红无靥']","['月经不调', '带下', '不育']",,
"['中风', '言语不得']","['中脘宿冷', '冷血侵脾', '嗳闻血腥']",,
"['中风', '口急']","['腹大如妊', '六脉乍大乍小', '面色乍赤乍白']",,
"['脏腑虚渴', '脱血过多']","['心阳内耗', '内劳无度', '命门失守']",,
"['血溢', '中脘宿冷']","['腹胀胎腐', '腰重不能屈伸', '眼胞肿']",,
"['脉弦数', '舌苔黄腻']","['内劳无度', '命门不禁', '液脱阳离']",,
"['难产', '血晕']","['产门', '结毒', '肿硬']",,
"['腹内成块', '肚上筋脉']","['结毒', '肿硬', '流血不止']",,
"['房事过度', '水不济火']","['血溢', '中脘宿冷', '嗳闻血腥']",,
"['乳上湿疮', '飞红无靥']","['赤白带下', '阴中冷', '小便浊败']",,
"['口急', '昏迷不省']","['肿硬', '流血不止', '脓血淋漓']",,
"['半身不遂', '脚手痹顽']","['难产', '血晕', '胎衣不下']",,
"['攀睛胬肉', '拳毛倒睫']","['产后', '干呕', '头痛']",,
"['痈疽发背', '疖']","['心阳内耗', '内劳无度', '液脱阳离']",,
"['腰重不能屈伸', '眼胞肿']","['饮食不下', '月经不调', '肌体羸瘦']",,
"['便利常涩', '小腹顽痹']","['半身不遂', '脚手痹顽', '左瘫右痪']",,
"['血壅不流', '血聚下焦']","['腹苦', '生不乳', '冻如葵汁']",,
"['咳嗽', '口干']","['关窍不固', '房事过度', '水不济火']",,
"['舌质淡', '苔薄']","['脉弦数', '舌质红', '舌苔黄腻']",,
"['干呕', '头痛']","['白带腥臭', '带下黄色', '任脉湿热']",,
"['牙关紧闭', '手足挛急']","['妊娠', '头痛', '伤寒']",,
"['妊娠', '头痛']","['产后', '饮食不下', '干呕']",,
"['骨弱', '弦急']","['心阳内耗', '命门不禁', '液脱阳离']",,
"['脚手痹顽', '左瘫右痪']","['心阳内耗', '命门失守', '液脱阳离']",,
"['咯痰带血', '咯血']","['中风', '言语謇涩', '四肢急掣']",,
"['干呕', '恶心']","['便利常涩', '小腹顽痹', '两脚不仁']",,
"['闭目不省', '血厥']","['产后', '遍身壮热', '头痛']",,
"['血脉不荣', '冲脉少藏']","['吐血不止', '大便后下血', '衄血']",,
"['妊而数堕', '屡产']","['痈', '痈疽发背', '瘰疬']",,
"['口眼抽动', '陡然抽风']","['冲脉少藏', '腹多病', '气食生冷']",,
"['经水如黄浆汁', '经水如黄浆汁']","['血溢', '中脘宿冷', '冷血侵脾']",,
"['寒热', '头目眩晕']","['大寒', '白带腥臭', '多悲']",,
"['多食厚味', '痞塞嗳酸']","['咯痰带血', '衄血', '咯血']",,
"['内劳无度', '命门失守']","['痈', '疮疥', '痈疽发背']",,
"['恶气熏人', '腋臭狐臊']","['痈', '乳痈', '痈疽发背']",,
"['产后', '干呕']","['脾气受伤', '脾转运滞', '痞塞嗳酸']",,
"['妊娠', '饮食不下']","['妊娠', '干呕', '头痛']",,
"['冷血侵脾', '嗳闻血腥']","['赤白带下', '不育', '阴中冷']",,
"['痈', '乳痈']","['心神恐惧', '啼泣不止', '歌笑无度']",,
"['满腹行走', '古怪异物']","['齿皆恶热饮', '唯喜干食', '大恶汤饮']",,
"['两乳忽长', '细小如肠']","['胎动胎痛', '居处失宜', '偶然顿仆']",,
"['肾气不旺', '两腿虚浮']","['内劳无度', '命门不禁', '命门失守']",,
"['身体俱黄', '额黑']","['脾气受伤', '脾转运滞', '多食厚味']",,
"['小腹顽痹', '两脚不仁']","['小便如血', '胎欲落', '斑出黑色']",,
"['言语謇涩', '四肢急掣']","['妊娠', '饮食不下', '干呕']",,
"['胎毒疮', '脓疥']","['心阳内耗', '内劳无度', '命门不禁']",,
"['霍乱', '小腿转筋']","['乳上湿疮', '痛痒不休', '脓血淋漓成片']",,
"['风湿脚气', '疝气']","['产后', '寒热', '头痛']",,
"['动胎', '月经过多']","['腹多病', '气食生冷', '经准不孕']",,
"['不睡', '心神恍惚']","['腮虚肿', '头皮光急', '鬓有疮痍']",,
"['食积', '食滞']","['月经不调', '赤白带下', '不育']",,
"['胎毒疮', '头面生癞']","['难产', '胎衣不下', '死胎']",,
"['白带腥臭', '虚寒带下']","['脾转运滞', '多食厚味', '痞塞嗳酸']",,
"['腹胀胎腐', '眼胞肿']","['乳上湿疮', '痛痒不休', '飞红无靥']",,
"['赤白带下', '阴中冷']","['疮疥', '痈疽发背', '瘰疬']",,
"['内劳无度', '命门失守', '液脱阳离']","['妊娠', '肚腹痛', '动胎']",,
"['侵损荣卫', '病患相感', '精血攻冲']","['脾气受伤', '多食厚味', '痞塞嗳酸']",,
"['内劳无度', '命门不禁', '液脱阳离']","['妊娠', '动胎', '月经过多']",,
"['衄血', '咳血', '咯血']","['中风', '口急', '身如角弓反张']",,
"['难产', '血晕', '胎衣不下']","['痈', '疮疥', '瘰疬']",,
"['半身不遂', '脚手痹顽', '左瘫右痪']","['皮聚', '毛落', '心肺俱损']",,
"['腹大如妊', '六脉乍大乍小', '相狎']","['侵损荣卫', '情欲相扰', '病患相感']",,
"['六脉乍大乍小', '面色乍赤乍白', '相狎']","['遍身壮热', '头痛', '伤寒']",,
"['妊娠', '头痛', '伤寒']","['产后', '饮食不下', '寒热']",,
"['产后', '饮食不下', '干呕']","['乳上湿疮', '脓血淋漓成片', '飞红无靥']",,
"['中风', '言语謇涩', '四肢急掣']","['结毒', '肿硬', '脓血淋漓']",,
"['便利常涩', '小腹顽痹', '两脚不仁']","['中风', '口急', '言语不得']",,
"['咯痰带血', '衄血', '咯血']","['腰痛下血', '侵损荣卫', '情欲相扰']",,
"['痈', '乳痈', '痈疽发背']","['腹内成块', '腿胫或肿', '肚上筋脉']",,
"['赤白带下', '不育', '阴中冷']","['痈', '痈疽发背', '疖']",,
"['心神恐惧', '啼泣不止', '歌笑无度']","['心阳内耗', '命门不禁', '命门失守']",,
"['小便如血', '胎欲落', '斑出黑色']","['急性湿疹', '过敏性皮炎', '皮炎']",,
"['腹大如妊', '面色乍赤乍白', '相狎']","['命门不禁', '命门失守', '液脱阳离']",,
"['心阳内耗', '内劳无度', '命门不禁']","['血溢', '冷血侵脾', '嗳闻血腥']",,
"['遍身壮热', '咳嗽', '口干']","['肝郁化火', '颧红', '经行乳胀']",,
"['腹多病', '气食生冷', '经准不孕']","['内劳无度', '命门不禁', '命门失守', '液脱阳离']",,
"['腰痛下血', '情欲相扰', '病患相感']","['心阳内耗', '内劳无度', '命门失守', '液脱阳离']",,
"['肚腹痛', '动胎', '月经过多']","['血溢', '中脘宿冷', '冷血侵脾', '嗳闻血腥']",,
"['腰痛下血', '侵损荣卫', '病患相感']","['心阳内耗', '内劳无度', '命门不禁', '液脱阳离']",,
"['产门', '肿硬', '流血不止']","['乳上湿疮', '痛痒不休', '脓血淋漓成片', '飞红无靥']",,
"['大寒', '白带腥臭', '多悲']","['痈', '疮疥', '痈疽发背', '瘰疬']",,
"['命门不禁', '命门失守', '液脱阳离']","['脾气受伤', '脾转运滞', '多食厚味', '痞塞嗳酸']",,
"['血溢', '冷血侵脾', '嗳闻血腥']","['心阳内耗', '命门不禁', '命门失守', '液脱阳离']",,
"['中脘宿冷', '冷血侵脾', '嗳闻血腥']","['结毒', '肿硬', '流血不止', '脓血淋漓']",,
"['心阳内耗', '内劳无度', '命门失守']","['心阳内耗', '内劳无度', '命门不禁', '命门失守']",,
"['肿硬', '流血不止', '脓血淋漓']","['心阳内耗', '内劳无度', '命门不禁', '命门失守', '液脱阳离']",,
"['产后', '干呕', '头痛']",,,
"['心阳内耗', '内劳无度', '液脱阳离']",,,
"['腹苦', '生不乳', '冻如葵汁']",,,
"['关窍不固', '房事过度', '水不济火']",,,
"['心阳内耗', '命门失守', '液脱阳离']",,,
"['吐血不止', '大便后下血', '衄血']",,,
"['痈', '痈疽发背', '瘰疬']",,,
"['冲脉少藏', '腹多病', '气食生冷']",,,
"['脾气受伤', '脾转运滞', '痞塞嗳酸']",,,
"['妊娠', '干呕', '头痛']",,,
"['产门', '结毒', '流血不止']",,,
"['寒热', '头痛', '头目眩晕']",,,
"['内劳无度', '命门不禁', '命门失守']",,,
"['脾气受伤', '脾转运滞', '多食厚味']",,,
"['阳微', '汗多不止', '牙噤发搐']",,,
"['难产', '胎衣不下', '死胎']",,,
"['妊娠', '动胎', '月经过多']",,,
"['妊娠', '肚腹痛', '动胎']",,,
"['中风', '口急', '身如角弓反张']",,,
"['产后', '饮食不下', '寒热']",,,
"['侵损荣卫', '情欲相扰', '病患相感']",,,
"['冲脉少藏', '腹多病', '经准不孕']",,,
"['中风', '口急', '言语不得']",,,
"['痈', '痈疽发背', '疖']",,,
"['心阳内耗', '命门不禁', '命门失守']",,,
"['皮聚', '毛落', '心肺俱损']",,,
"['急性湿疹', '过敏性皮炎', '皮炎']",,,
"['腮虚肿', '头皮光急', '鬓有疮痍']",,,
"['胁痛潮热', '肝燥碍肺', '咳而无痰']",,,
"['腹大如妊', '六脉乍大乍小', '面色乍赤乍白']",,,
"['腹胀胎腐', '腰重不能屈伸', '眼胞肿']",,,
"['产门', '结毒', '肿硬']",,,
"['饮食不下', '月经不通', '寒热']",,,
"['赤白带下', '阴中冷', '小便浊败']",,,
"['白带腥臭', '带下黄色', '任脉湿热']",,,
"['吐血不止', '衄血', '咯血']",,,
"['产后', '遍身壮热', '头痛']",,,
"['冲脉少藏', '气食生冷', '经准不孕']",,,
"['胎动胎痛', '居处失宜', '偶然顿仆']",,,
"['妊娠', '饮食不下', '干呕']",,,
"['乳上湿疮', '痛痒不休', '脓血淋漓成片']",,,
"['产后', '寒热', '头痛']",,,
"['饮食不下', '寒热', '头目眩晕']",,,
"['疮疥', '痈疽发背', '瘰疬']",,,
"['脾气受伤', '多食厚味', '痞塞嗳酸']",,,
"['痈', '疮疥', '瘰疬']",,,
"['遍身壮热', '头痛', '伤寒']",,,
"['乳上湿疮', '脓血淋漓成片', '飞红无靥']",,,
"['血溢', '中脘宿冷', '嗳闻血腥']",,,
"['肝郁化火', '颧红', '经行乳胀']",,,
"['羞明', '赤眼肿痛', '翳膜']",,,
"['结毒', '流血不止', '脓血淋漓']",,,
"['痛痒不休', '脓血淋漓成片', '飞红无靥']",,,
"['月经不调', '带下', '不育']",,,
"['侵损荣卫', '情欲相扰', '精血攻冲']",,,
"['结毒', '肿硬', '流血不止']",,,
"['饮食不下', '月经不调', '肌体羸瘦']",,,
"['妊娠', '肚腹痛', '月经过多']",,,
"['脉弦数', '舌质红', '舌苔黄腻']",,,
"['情欲相扰', '病患相感', '精血攻冲']",,,
"['心阳内耗', '命门不禁', '液脱阳离']",,,
"['血溢', '中脘宿冷', '冷血侵脾']",,,
"['痈', '疮疥', '痈疽发背']",,,
"['齿皆恶热饮', '唯喜干食', '大恶汤饮']",,,
"['月经不调', '赤白带下', '不育']",,,
"['脾转运滞', '多食厚味', '痞塞嗳酸']",,,
"['乳上湿疮', '痛痒不休', '飞红无靥']",,,
"['结毒', '肿硬', '脓血淋漓']",,,
"['腰痛下血', '侵损荣卫', '情欲相扰']",,,
"['腹内成块', '腿胫或肿', '肚上筋脉']",,,
"['内劳无度', '命门不禁', '命门失守', '液脱阳离']",,,
"['心阳内耗', '内劳无度', '命门失守', '液脱阳离']",,,
"['腰痛下血', '侵损荣卫', '情欲相扰', '病患相感']",,,
"['腹大如妊', '六脉乍大乍小', '面色乍赤乍白', '相狎']",,,
"['血溢', '中脘宿冷', '冷血侵脾', '嗳闻血腥']",,,
"['心阳内耗', '内劳无度', '命门不禁', '液脱阳离']",,,
"['冲脉少藏', '腹多病', '气食生冷', '经准不孕']",,,
"['乳上湿疮', '痛痒不休', '脓血淋漓成片', '飞红无靥']",,,
"['侵损荣卫', '情欲相扰', '病患相感', '精血攻冲']",,,
"['妊娠', '肚腹痛', '动胎', '月经过多']",,,
"['痈', '疮疥', '痈疽发背', '瘰疬']",,,
"['产门', '结毒', '肿硬', '流血不止']",,,
"['脾气受伤', '脾转运滞', '多食厚味', '痞塞嗳酸']",,,
"['心阳内耗', '命门不禁', '命门失守', '液脱阳离']",,,
"['结毒', '肿硬', '流血不止', '脓血淋漓']",,,
"['心阳内耗', '内劳无度', '命门不禁', '命门失守']",,,
"['心阳内耗', '内劳无度', '命门不禁', '命门失守', '液脱阳离']",,,
